"","stationid","lat","lon","source"
"473","AU_0000202",-24.37647102,151.8252329,"gsim"
"474","AU_0000203",-24.75334711,151.5871724,"gsim"
"475","AU_0000204",-24.96863311,151.8918597,"gsim"
"476","AU_0000205",-25.13617187,151.9822278,"gsim"
"477","AU_0000206",-25.54471212,151.6549444,"gsim"
"478","AU_0000207",-25.59481676,151.2963609,"gsim"
"479","AU_0000208",-25.27309858,151.5173421,"gsim"
"480","AU_0000209",-25.28507017,151.9894613,"gsim"
"481","AU_0000210",-25.38092052,151.9881369,"gsim"
"482","AU_0000211",-25.62154942,151.6036895,"gsim"
"483","AU_0000212",-25.23432856,151.7974253,"gsim"
"484","AU_0000213",-25.23593634,151.7986008,"gsim"
"485","AU_0000214",-25.59482836,151.2973562,"gsim"
"486","AU_0000215",-25.12890304,151.1306622,"gsim"
"487","AU_0000216",-25.28245178,151.1468425,"gsim"
"488","AU_0000217",-25.40225205,151.1032719,"gsim"
"489","AU_0000218",-24.61322696,151.1138751,"gsim"
"490","AU_0000219",-24.74542881,151.2602476,"gsim"
"491","AU_0000220",-24.99231316,151.3473608,"gsim"
"492","AU_0000221",-25.21434014,151.2737715,"gsim"
"493","AU_0000222",-26.30069881,152.0432566,"gsim"
"494","AU_0000223",-26.7367666,151.8188038,"gsim"
"495","AU_0000224",-25.71077157,151.8083241,"gsim"
"496","AU_0000225",-25.90278632,151.8438363,"gsim"
"497","AU_0000226",-26.47004314,152.0575293,"gsim"
"498","AU_0000227",-26.31776391,152.0652872,"gsim"
"499","AU_0000228",-26.50130572,151.7712032,"gsim"
"500","AU_0000229",-26.1816336,151.5460502,"gsim"
"501","AU_0000230",-25.6814991,151.0076804,"gsim"
"502","AU_0000231",-25.93822767,151.0203311,"gsim"
"503","AU_0000232",-26.2553681,151.3083183,"gsim"
"504","AU_0000233",-25.78592226,151.3328367,"gsim"
"505","AU_0000234",-24.98844494,152.3758122,"gsim"
"506","AU_0000235",-24.97237411,152.4214666,"gsim"
"507","AU_0000236",-25.08624773,152.2404558,"gsim"
"508","AU_0000237",-25.15343652,152.3915743,"gsim"
"509","AU_0000238",-25.26655416,152.3684384,"gsim"
"510","AU_0000239",-25.40012969,152.5297982,"gsim"
"511","AU_0000240",-25.95332924,152.4956601,"gsim"
"512","AU_0000241",-26.00538295,152.4115021,"gsim"
"513","AU_0000242",-26.21617591,152.5215599,"gsim"
"514","AU_0000243",-25.90308211,152.3491138,"gsim"
"515","AU_0000244",-26.16946476,152.6008013,"gsim"
"516","AU_0000245",-26.07732958,152.7838197,"gsim"
"517","AU_0000246",-26.07941476,152.2191617,"gsim"
"518","AU_0000247",-25.76832547,152.5273595,"gsim"
"519","AU_0000248",-26.3654542,152.6201768,"gsim"
"520","AU_0000249",-26.33062238,152.8136828,"gsim"
"521","AU_0000250",-26.62740743,152.7046355,"gsim"
"522","AU_0000251",-26.52614175,152.7439201,"gsim"
"523","AU_0000252",-26.38988703,152.6446891,"gsim"
